year,Rank,Name,Country,Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook
2013,301-350,University of Pisa,Italy,-,22.6,23.2,63.8,39.4,29.6
2013,301-350,Zhejiang University,China,-,40.3,34.5,32.6,89.0,20.1
2013,301-350,North Carolina State University,United States,-,34.8,28.8,47.6,35.7,29.2
2013,301-350,University of Tsukuba,Japan,-,39.9,26.2,45.3,33.0,30.7
2013,301-350,Politecnico di Milano,Italy,-,27.2,23.8,47.7,68.1,38.1
2013,301-350,University of Pavia,Italy,-,25.6,18.3,56.3,60.6,34.4
2013,301-350,Kyushu University,Japan,-,44.0,28.8,30.7,73.1,21.7
2013,301-350,University of Portsmouth,United Kingdom,-,12.8,10.5,72.3,29.2,70.2
2013,301-350,University of Wollongong,Australia,-,22.5,27.3,47.4,54.0,83.7
2013,301-350,Wayne State University,United States,-,34.3,16.2,58.4,-,28.1
2013,301-350,Charles University,Czechia,-,34.7,26.2,42.0,28.1,50.3
2013,301-350,Renmin University of China,China,-,36.1,12.0,59.6,44.0,45.8
